img_paths,labels,pred_labels
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_25b_1.jpg,癸卯六年,癸卯六年
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_4b_3.jpg,紀元者五,紹元者立
Tale of Kieu 1866/page018a_11.jpg,王孫貴客乙󰑼都饒,王孫貴客乙󰑼都饒
Tale of Kieu 1871/page057_17.jpg,𢚸低𢚸帝渚曾咍牢,𢚸低𢚸帝渚曾咍牢
Luc Van Tien/nlvnpf-0059-073_17.jpg,吏󰝡钱泊討󰉨六公,吏󰝡情泊討󰉨六翁
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_74a_3.jpg,癸丑六年,癸丑六年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_21b_0.jpg,辛亥六年,辛亥六年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_57b_3.jpg,穆帝也,義帝也
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_26a_10.jpg,甲辰七年,甲辰七年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_5a_4.jpg,宋大中祥,宋大中祥
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_6b_4.jpg,宋大中祥,宋大中祥
Luc Van Tien/nlvnpf-0059-021_13.jpg,陸王𠄩户都芸𠬠欺,陸王𠄩户都華𠬠欺
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_12a_10.jpg,五年,五年
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_3a_10.jpg,五年,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_4a_2.jpg,五年,十年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_11a_3.jpg,五年,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_12a_14.jpg,五年,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_16b_6.jpg,五年,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_15a_2.jpg,五年,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_18a_8.jpg,五年,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_14b_4.jpg,五年,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_9b_12.jpg,五年,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_5a_8.jpg,元大德,元大德
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_23b_5.jpg,甲戌七年,甲戌七年
Tale of Kieu 1872/page77b_6.jpg,闭迡𤋵月油花,闭迡𤋵月油花
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_33a_5.jpg,耳乃令撒寨而回,耳乃令徽寨而回
Luc Van Tien/nlvnpf-0059-094_8.jpg,明浪良嫂於󰦓,明浪貝嫂於󰠲
Tale of Kieu 1871/page105_11.jpg,礼先兵後刻期裏政,𥛉先兵𢼂刻期裏政
Luc Van Tien/nlvnpf-0059-081_13.jpg,斈隊如世󰖽払文君,斈隊如世敕散払吏
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_20b_13.jpg,元年,元年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_28b_3.jpg,元年,元年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_10a_12.jpg,元年,元年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_14a_16.jpg,元年,元年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_22b_5.jpg,年元,五年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_8a_14.jpg,元年,元年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_50b_0.jpg,盡貟始相輸差别道御史,盡貟始相輪差别道御史
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_11b_23.jpg,四年,四年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_51b_8.jpg,四年,四年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_3b_7.jpg,四年,四年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_2a_15.jpg,四年,四年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_18a_4.jpg,四年,年二
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_21a_13.jpg,四年,呂年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_27b_2.jpg,四年,四年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_63b_13.jpg,四年,四年
Tale of Kieu 1871/page101_15.jpg,爲碎𢚁𠳨󰜋𠳒終身,爲碎𢚁𠳨󰜋𠳒終身
Luc Van Tien/nlvnpf-0059-024_5.jpg,𡶀高󰠩䟢及其𪀄悲,𡶀高󰠩跡及其𪀄悲
Tale of Kieu 1872/page65b_3.jpg,及干兵革𡗉𮥷拱傷,及干兵𦰤𡗉󰑼拱傷
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_30b_13.jpg,宋嘉十,宋嘉定
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_31a_7.jpg,宋嘉十,宋嘉定
Luc Van Tien/nlvnpf-0059-078_9.jpg,月娥𥙩寔傳𨉓疎戈,月娥𥙩寔傳𨉓陳戈
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_7b_15.jpg,漢武帝徹,漢武帝衞
Tale of Kieu 1871/page101_12.jpg,娘浪前定先知,娘浪前定先知
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_10a_2.jpg,縣人,縣人
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_8b_19.jpg,山陸間其性強,陵山人也旨
Tale of Kieu 1871/page134_2.jpg,咹󱋔時事㐌耒,浽󱋔時事㐌耒
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_5a_20.jpg,晉泰始七年,󰏲泰始七年
Tale of Kieu 1866/page014a_2.jpg,過年𡒔外𦊛旬,過年𦊚外𦊛句
Luc Van Tien/nlvnpf-0059-057_15.jpg,吏𧵆連哙事情買咍,吏𧵆連吟事情買咍
Luc Van Tien/nlvnpf-0059-054_9.jpg,户王户武𠬠茄買𠰮,户王户武𠬠茄買呌
Luc Van Tien/nlvnpf-0059-015_2.jpg,𠳿󰠃月老絲紅,浘󰠃月老絲紅
Luc Van Tien/nlvnpf-0059-076_19.jpg,邒爫皇后渃畨於𠁀,鄧爫皇后渃畨於𠁀
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_9a_6.jpg,德江是也,德江是也
Tale of Kieu 1871/page015_14.jpg,㐌𢚸君子多恾,㐌𢚸君子多恾
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_16b_14.jpg,丙申七年,丙甲七年
Luc Van Tien/nlvnpf-0059-009_13.jpg,𠫾兜𢧚浽芒灾不期,𠫾兜𢧚浽芒灾不期
Tale of Kieu 1871/page111_15.jpg,檜源拱於𢚸𠊛麻𦋦,檜源拱於𢚸𠊛麻𦋦
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_13b_5.jpg,戊寅七年,戊寅七年
Luc Van Tien/nlvnpf-0059-064_3.jpg,𡟱𤽗子紏迻𧗱桓公,嫡𤽗子缺約迻𧗱尼
Tale of Kieu 1871/page066_17.jpg,芇埃固考麻命吏称,芇埃固考麻命吏称
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_7b_1.jpg,丙辰七年,丙辰七年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_49b_11.jpg,與弟農上皇當宁,與弟農上皇當守
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_5b_8.jpg,己亥七年,己亥七年
Tale of Kieu 1872/page53b_19.jpg,底娘朱旦世時共伤,底娘朱旦世時共低
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_2a_5.jpg,十七,十七
Tale of Kieu 1866/page062a_23.jpg,𠄩茹拱順󰜋𣈜赴官,𠄩茹拱順󰜋𣈜赴官
DVSKTT-1 Quyen thu/DVSKTT_thu_VII_20b_3.jpg,皇上陛下恢,皇上陛下欺
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_54a_5.jpg,壬午七年,壬午七年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_19b_0.jpg,人慕青威人,人慕去時順十
Tale of Kieu 1866/page032b_20.jpg,於咹時󰞺拱咍,於咹時󰞺拱咍
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_9a_4.jpg,六年,六年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_69a_2.jpg,六年,六年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_36b_10.jpg,六年,六年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_28b_10.jpg,六年,六年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_9b_9.jpg,六年,六年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_8a_4.jpg,六年,六年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_60a_6.jpg,辛卯七年,辛卯七年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_17a_3.jpg,六年,十年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_35b_13.jpg,六年,方年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_23b_8.jpg,六年,六年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_21a_1.jpg,今朝國初,今朝諱初
Tale of Kieu 1871/page051_17.jpg,󰟯珠󰞺月󰟯派𨤔紅,羕珠󰞺月󰟯派𨤔紅
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_1a_11.jpg,林人,母人
Luc Van Tien/nlvnpf-0059-054_18.jpg,武公𦋦畧誘払,武公𦋦畧誘払
Luc Van Tien/nlvnpf-0059-084_10.jpg,月娥半信半𪟽,月娥半信半𪟽
Tale of Kieu 1871/page122_7.jpg,事尼𠳨束生員買詳,事尼𠳨束生員買詳
Tale of Kieu 1872/page22b_13.jpg,時攀梗橘朱柑事𠁀,縣業梗橘朱桓事𠁀
Tale of Kieu 1871/page095_7.jpg,浪𠳐令旨逴朝于歸,浪𠳐合旨逴調干歸
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_70b_12.jpg,澤社人,澤也人
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_34a_7.jpg,明英宗正,明英宗正
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_25b_0.jpg,水無有,水慰有
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_20b_5.jpg,曰權及長魁梧,曰權及長魁梧
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_95b_6.jpg,明天順,明天順
Tale of Kieu 1871/page097_15.jpg,默娘處决報填朱明,默娘處决報茹朱明
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_3b_1.jpg,杜范六材阮彦光段󰲧,杜范六村阮彦光段擊
Tale of Kieu 1872/page66a_9.jpg,󰇥醝吏押紊弹日奏,󰇥醝吏部察弹日春
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_33a_20.jpg,明太祖,明九成
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_27a_4.jpg,福演人,懦朝奉八
Luc Van Tien/nlvnpf-0059-015_5.jpg,𬌓𢚸娥女爲払麻迎,𬌓𢚸娥女庙払麻迎
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_13b_13.jpg,庚辰九年,庚辰九年
Tale of Kieu 1872/page34a_6.jpg,月花花月󰞽燶,月花立月料燶
Tale of Kieu 1871/page063_17.jpg,牢朱𥪞蔭時外買淹,牢朱𥪞蔭時外買淹
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_13a_6.jpg,遇明指揮同知,遇明指揮同知
Luc Van Tien/nlvnpf-0059-096_5.jpg,西畨曳賊閉𥹰拱爲,西番曳賊閉𥹰拱名
Tale of Kieu 1872/page47a_15.jpg,爫𦋦昆於主茹堆尼,爫𦋦是𢪀主茹堆尼
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_23b_8.jpg,壬寅九年,壬寅九年
Tale of Kieu 1866/page047b_17.jpg,焒兵兜㐌喑喑󰜋方,焒箕󰠲㐌喑喑󰜋方
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_30b_7.jpg,野史云帝耽滛,醫史云帝身出
Tale of Kieu 1866/page023b_5.jpg,復書㐌𧡊信払典尼,復書㐌𧡊信払典尼
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_19a_9.jpg,年宋宣,宋宣和
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_22a_15.jpg,試三教賜出申,試三教賜出身
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_14a_4.jpg,梁武帝蕭衍,象武帝請衙行
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_23b_0.jpg,丙寅九年,丙寅九年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_14a_6.jpg,戊戌九年,戊戌九年
Tale of Kieu 1871/page005_18.jpg,翹浪仍等才花,翹浪仍等才花
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_58a_3.jpg,詔天下田租,詔天下田田細
Tale of Kieu 1871/page051_3.jpg,料身時拱沛料世催,料身時拱沛料世催
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_47b_11.jpg,季犛命行遣黃晦卿,季犛命行遣黄晦卿
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_15a_12.jpg,辛卯九年,辛卯九年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_77a_11.jpg,香市人,香市人
Tale of Kieu 1872/page55b_13.jpg,𨔉𦋦耒吏𫃚𠓨如制,𫽻𦋦耒吏𫃚𠓨如制
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_20a_2.jpg,嫌者盖蝟此也,嫌者盖謂此也
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIV_1a_1.jpg,黎皇朝紀,黎皇朝紀
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_1a_1.jpg,黎皇朝紀,黎皇朝紀
Tale of Kieu 1872/page67b_11.jpg,𡮍爲𭛣渃麻𦋦負𢚸,󰡑爲𭛣渃麻𦋦負𢚸
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_11b_15.jpg,年春,二年
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_23b_1.jpg,天策王,天象王
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_1b_9.jpg,聞莫登庸簒奪僞置官,明開莫登庸篡奪僞省
Tale of Kieu 1866/page052a_12.jpg,信𠓨𠳚𠸜軍中,信𠓨𠳚畧軍中
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_6b_5.jpg,昌邑人,昌故人
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_39b_3.jpg,延明三舟,延明三舟
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_29a_5.jpg,佺爲三,答為三
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_20b_11.jpg,王都螺城,王都螺城
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_7a_10.jpg,初舟為經畧判,初舟爲經畧别
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_13b_3.jpg,七年,七年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_70b_5.jpg,七年,十年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_36b_14.jpg,七年,七年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_15a_15.jpg,七年,七年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_2a_4.jpg,年七,年七
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_15a_10.jpg,八年,八年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_4b_2.jpg,八年,八年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_19b_3.jpg,八年,八年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_15a_8.jpg,八年,八年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_74a_5.jpg,八年,八年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_20b_9.jpg,弘烈人,缺名
Tale of Kieu 1866/page055a_3.jpg,决情公買󰠣𣦍󰜋排,决情公買斷𣦍󰜋排
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_20b_1.jpg,乂安城還救根本,乂安城還枚根本
Tale of Kieu 1872/page03a_18.jpg,浪牢𥪝節清明,蔑牢𥪝節清期
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_12a_4.jpg,元至正,元至正
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_14a_7.jpg,元至正,元至正
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_17a_6.jpg,元至正,元至正
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_23a_11.jpg,元至正,元至正
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_33a_8.jpg,蝗賜陳克終爵亞關内侯,蝗賜陳充終爵亞爛山侯
Luc Van Tien/nlvnpf-0059-042_19.jpg,𨑮位三府洞廷赤鱗,𨑮𠄩三麻洞廷永𡢐
Tale of Kieu 1872/page16a_9.jpg,𠃩囬問曰如圍䋦絲,𠃩𡆫悶日如圍梗絲
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_3a_12.jpg,南帝建,南帝建
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_32b_11.jpg,冬十,冬十
Tale of Kieu 1866/page065a_3.jpg,桃𡽫󰉺料車絲及時,桃𡽫𣋽料車絲﨤時
Tale of Kieu 1866/page025a_19.jpg,喥𦖑娘固𡥵芇於低,渡𦖑娘固𡥵芇於低
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_1b_10.jpg,有自,名曰
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_10b_0.jpg,于建昌宫廟號憲宗,于建昌宫廟號憲宗
Tale of Kieu 1872/page02a_8.jpg,浪𢆥嘉靖朝明,浪𠁑嘉靖期明明
Tale of Kieu 1872/page19b_19.jpg,昆絲群王䋦尼渚衝,昆絲群王䋦尼渚衝
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_18b_8.jpg,太尉䦕内侯,太尉開内侯
Tale of Kieu 1871/page058_9.jpg,還原󰜋帖申𠓨󰘇公,墨原󰜋帖申𠓨󰘇公
Luc Van Tien/nlvnpf-0059-016_5.jpg,曰書戈妬𨑮払鄧低,曰書戈妬𨑮払鄧低
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_28a_3.jpg,疾不能,宋嘉定
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIV_40a_8.jpg,人啓,人黎
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_11a_16.jpg,府者交州,帝皆奏即
Tale of Kieu 1866/page061b_19.jpg,爫𢧚動地󰟹天同同,爫𢧚動地󰟹天同同
Tale of Kieu 1866/page032b_23.jpg,𠰘𠊛㐌𡗋信茹時空,𠰘𠊛㐌𡗋信茹時罕
Tale of Kieu 1866/page025b_21.jpg,𥙩身麻者𡢻𠁀朱衝,𥙩身麻者󰜋𠁀朱衝
Tale of Kieu 1871/page014_21.jpg,𢧚庒時拱在𢚸媄吒,𢧚庄時拱在𢚸媄吒
Tale of Kieu 1872/page10a_13.jpg,𢧚庒時拱在𢚸媄吒,城庄時拱在𢚸媄吒
Tale of Kieu 1871/page028_2.jpg,定時納釆于歸,定時納永干歸
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_47a_23.jpg,帝在寶洲,帝在寳洲
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_1b_0.jpg,太后父吳氏慈,太后父吳氏玉
Luc Van Tien/nlvnpf-0059-033_11.jpg,渚尼名利另塘是非,渚尼名利另塘是非
Tale of Kieu 1866/page025a_22.jpg,娘浪傕世時催,娘浪催世時催
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_1b_16.jpg,九年,九年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_59b_9.jpg,九年,九年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_1a_5.jpg,九年,九年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_71b_10.jpg,九年,九年
Tale of Kieu 1872/page65a_17.jpg,娘皮伏下徐連我𦋦,娘皮伏下徐連我𦋦
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_16b_6.jpg,九年,九年
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_25b_7.jpg,九年,九年
Tale of Kieu 1872/page82b_14.jpg,󰠱爲史󰒂初娄,𥘀爲史󰒂功娄
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_37b_8.jpg,國姓黎,陽姓黎
Tale of Kieu 1871/page003_18.jpg,固𠊛客於遠方,固𠊛客於遠方
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_4b_8.jpg,一曰,一云
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_15a_0.jpg,前年,前年
Tale of Kieu 1871/page111_6.jpg,󰋇𠊛為󰒂初󰅒,󰋇𠊛店󰒂初𫢩
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_39b_2.jpg,明殿𭓇士,明殿學士
Tale of Kieu 1872/page18b_16.jpg,時浪料𠬠身昆,時浪料𠬠身昆
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_7b_8.jpg,南詔兵還,南詔進封
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_58b_9.jpg,庫總知領軍,事德如
Luc Van Tien/nlvnpf-0059-067_7.jpg,矯公差几迻回𧵑朱,矯公差几迻固𧵑朱
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_36b_7.jpg,梅人,以
Tale of Kieu 1872/page13b_17.jpg,𠬠浪流水𠄩浪行雲,𠬠浪流水𠄩浪行雲
Luc Van Tien/nlvnpf-0059-067_18.jpg,傷爲畑󰀋固功,傷爲畑懺固功
Tale of Kieu 1871/page121_3.jpg,於低或固佳音庄󰑼,於低或固佳音庄󰑼
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_14b_6.jpg,霸先侵伐飲恨而没惜夫,溺先長伐飲懷而潰惜夫
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_42b_8.jpg,進士出身,𨄹士出身
Tale of Kieu 1866/page051b_13.jpg,𰿘兵𠦳將會同洗寃,𰿘兵𠦳將會同洗寃
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_11a_7.jpg,進士出身,進士出身
Tale of Kieu 1872/page38a_1.jpg,頭𡳪吏計事𣈜求𠦳,踈蹺吏計事𣈜求𠦳
Tale of Kieu 1871/page094_9.jpg,酉离絲意群王絲𢚸,酉爾緣意群王絲𢚸
Tale of Kieu 1866/page047b_9.jpg,酉离絲意群王絲𢚸,酉󰡞絲意群王絲𢚸
Tale of Kieu 1872/page63a_18.jpg,㨂軍爫斫招安,㨂軍爫所招安
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_16a_12.jpg,女壻茶和布底為布提,女壻茶和布底為布捉
Tale of Kieu 1872/page22b_17.jpg,𠼦牟招集吏󰑼群元,𠼦牟招集吏果姅元
Tale of Kieu 1872/page75a_2.jpg,﨤娘時扵州台,及娘𣈜扵󰀋台
Tale of Kieu 1872/page54b_3.jpg,尼賒時庄固㝵芇賒,尼賒時庄固㝵芇賒
Luc Van Tien/nlvnpf-0059-002_6.jpg,固𠊛扵郡東城,固𠊛扵郑東城
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_15b_5.jpg,人,人
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_15b_8.jpg,人,人
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_49b_10.jpg,人,人
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_27b_3.jpg,人,人
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_34a_4.jpg,人,人
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_9a_10.jpg,人,人
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_25b_38.jpg,明公,稱公
Tale of Kieu 1871/page083_17.jpg,尋花過𨀈󰏙𠊛曰經,𡦂花過𨀈󰏙𠊛曰經
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_10a_11.jpg,某月,缺月
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_5b_12.jpg,善道國母諱,善道國母諱
Tale of Kieu 1866/page051a_12.jpg,娘浪前定僊知,娘浪前定先知
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_I_9b_8.jpg,自備待諸侯變會病甚,自僃待諸侯變會病崑
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_8b_5.jpg,並圖田宏󰍁甲果如楊言,並徒山宏󰍁甲果如楊言
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_5a_5.jpg,天順凣六,天順凣六
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_1b_6.jpg,稱爲前步營,稱為前步營
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_69b_0.jpg,已移果何為哉,己移果何為哉
Tale of Kieu 1872/page61a_7.jpg,悭𡀢時拱㝵些常情,悭𡀢時拱㝵些常情
Tale of Kieu 1871/page068_3.jpg,謀高本㐌泣名仍𣈜,謀高奔㐌泣各仍𣈜
Tale of Kieu 1866/page034b_3.jpg,謀高本㐌泣名仍𣈜,謀高卒㐌汝名仍𣈜
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_11a_4.jpg,𡸈無所自哉,豐無所自哉
Tale of Kieu 1871/page022_19.jpg,払強添𢘝添爲𨑮分,払強添𢘝淬爲𨑮分
Tale of Kieu 1871/page107_4.jpg,浪徐󰑼等𮎦雄,浪徐󰑼等𮎦雄
Tale of Kieu 1872/page61b_9.jpg,誓牢時吏拠牢加刑,誓牢時吏拠牢加別
Tale of Kieu 1872/page15a_7.jpg,生時𨄹𨀈𡑝桃倍𦋦,生時𨄹𨀈𡑝桃倍𦋦
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_39a_11.jpg,張漢超從祀孔子廟庭,張漢超從祀孔子廟庭
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_7b_6.jpg,氏横爲正妃,式横為正妃
Luc Van Tien/nlvnpf-0059-095_7.jpg,朱官𦋦逴𠓨掑边凱,朱官𦋦逴𠓨掑边凱
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_29a_5.jpg,爲禮部,府侍衛
